SPECIES 
Abalone
Abietinaria abietina
Abludomelita obtusata
Abothrium gadi
Abra
Abra nitida
Abudefduf saxatilis
Acanthinucella spirata
Acanthodoris pilosa
Acanthogorgia hirsuta
Acanthopagrus schlegelii schlegelii
Acanthopsolus lageniformis
Acanthurus nigrofuscus
Acanthurus triostegus
Acari
Acartia
Acartia (Acartiura) longiremis
Acartia clausi
Acartia hudsonica
Acetes americanus
Achnanthes longipes
Acmaea tessulata
Acmaea testudinalis
Actinia
Actinia equina
Actinia fragacea
Actiniaria
Actinopterygii
Actinostola
Actinothoe
Actinothoe sphyrodeta
Adinosoma robusta
Aeginina longicornis
Aegires albopunctatus
Aeolidia papillosa
Aeolidiella glauca
Aetobatis narinari
Agaricomycetes
Agarum clathratum
Agarum cribrosum
Agarum fimbriatum
Agonus cataphractus
Ahnfeltia plicata
Aiptasia couchii
Alamprops quadriplicatus
Alaria esculenta
Alcyonidium
Alcyonidium albescens
Alcyonidium hauffi
Alcyonidium verrilli
Alcyonium
Alcyonium digitatum
Alcyonium siderium
Alepisaurus
Alexandrium catenella
Alitta virens
Allantactis parasitica
Alosa aestivalis
Alosa mediocris
Alosa pseudoharengus
Alosa sapidissima
Alpheidae
Alpheus
Alpheus heterochaelis
Amathia
Amathia gracilis
Amblyraja hyperborea
Amblyraja radiata
Ameiurus catus
Ameiurus nebulosus
Americamysis bigelowi
Ameritella agilis
Ameritella carpenteri 
Ammodytes
Ammodytes americanus
Ammodytes dubius
Ammodytes marinus
Ammodytidae
Ammotrypane
Ampelisca abdita
Ampelisca agassizi
Ampelisca macrocephala
Ampelisca sp.
Ampelisca spinipes
Ampelisca typica
Ampelisca vadorum
Ampeliscidae
Ampharete 
Ampharete arctica
Ampharete lindstroemi
Ampharetidae
Amphibalanus amphitrite
Amphibalanus eburneus
Amphibalanus improvisus
Amphibalanus improvisus 
Amphibalanus reticulatus
Amphibalanus venustus
Amphipholis squamata
Amphipoda
amphipods
Amphiprora sulcata
Amphiura
Amphiuridae
Amphorina farrani
Amphorina pallida
Ampithoe
Ampithoe lacertosa
Ampithoe longimana
Ampithoe marcuzzii
Ampithoe valida
Anacanthobatidae
Anachis avara
Anachis lafresnayi
Anadara brasiliana
Anapagurus laevis
Anarhichas denticulatus
Anarhichas lupus
Anas rubripes
Anasterias rupicola
Anathelges hyptius
Anchoa
Anchoa hepsetus
Anchoa mitchilli
Ancula gibbosa
Anemonia
Anemonia sulcata
Anemonia viridis
Anguilla rostrata
Anisakis
Anisakis simplex
Anneli
Annelida
Anomalocera opalus
Anomia ephippium
Anomia peruviana
Anomia simplex
Anomura
Anonyx
Anonyx sarsi
Anthea
Anthoathecata
Anthopleura
Anthopleura artemisia
Anthopleura ballii
Anthopleura elegantissima
Anthopleura xanthogrammica
Anthoptilum grandiflorum
Anthozoa
Anthuridae
Aora typica
Aoridae
Apeltes quadracus
Apherusa bispinosa
Apherusa glacialis
Aphriza virgata
Aphrocallistes vastus
Aphrodita
Aphrodita aculeata
Aphrodita hastata
Aphroditidae
Aplidium constellatum
Aplidium glabrum
Aplidium pallidum
Aplidium stellatum
Aplysia californica
Aplysia punctata
Aplysilla longispina
Aplysilla rosea
Aplysilla sulfurea
Apocorophium acutum
Appendicularia
Arbacia punctulata
Archinotodelphys gurneyi
Archosargus probatocephalus
Archosargus rhomboidalis
Arctica islandica
Arctica islandica 
Arctozenus risso
Arenaria interpres
Arenaria melanocephala
Arenicola
Argis dentata
Argopecten irradians
Aricidea (Acmira) catherinae
Aricidea (Aricidea) wassi
Aricidea (Strelzovia) suecica
Artacama proboscidea
Artemia
Arthropoda
Ascaris
Ascarophis arctica
Ascarophis filiformis
Ascarophis morrhuae
Ascidia interrupta
Ascidia mentula
Ascidiacea
Ascidiella aspersa
Ascomycota
Ascophyllum nodosum
Asellota
Aspidophoroides olrikii
Astacilla dilatata
Astacilla longicornis
Astarte
Astarte arctica
Asterias
Asterias amurensis
Asterias forbesii
Asterias rubens
Asterias vulgaris
Asteroidea
Astrangia poculata
Astropecten articulatus
Astropecten irregularis
Astyris lunata
Asymmetrione desultor
Atherinops affinis
Aulacomya atra
Aulactinia
Aulactinia stella
Aulactinia verrucosa
Aurelia aurita
Aureoumbra lagunensis
Austrominius modestus
Axiidae
Axius
Bacillariophyceae
Bacillariophyta
bacteria
bacteria 
Bairdiella chrysoura
Balaenoptera acutorostrata
Balanus
Balanus balanus
Balanus crenatus
Balanus glandula
Balanus nauplii
Bangia atropurpurea
Barentsia
Barentsia ramosa
Barnacle sp.
Bathypolypus arcticus
Bathypolypus bairdii
Bathyporeia elegans
Bathyporeia quoddyensis
Bathyraja spinicauda
Bedeva vinosa
Berghia coerulescens
Beroe
Beroe cucumis
Beroe ovata
Biddulphia
Biflustra tenuis
Bivaliva
Bivalvia
Blenniidae
Blennioclinus brachycephalus
Bodotria scorpioides
Boltenia echinata
Boltenia ovifera
Bonamia
Bonamia exitiosa
Bonamia ostreae
Boreogadus saida
Boreotrophon clathratus
Boschmaella japonica
Bothidae
