"","NETWORK","PI","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","SAMPLING_METHOD","NOTES"
"1","KEEN ONE","Byrnes",2014,7,17,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"2","KEEN ONE","Byrnes",2014,7,17,"SW Appledore","South Smith's Cove","POVI",NA,NA,"10-50",70,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"3","KEEN ONE","Byrnes",2014,7,17,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"4","KEEN ONE","Byrnes",2014,7,17,"SW Appledore","North Smith's Cove","POVI",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"5","KEEN ONE","Byrnes",2014,7,18,"NE Appledore","Broad Cove","POVI",NA,NA,"10-50",86,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"6","KEEN ONE","Byrnes",2014,7,18,"NE Appledore","Norwegian Cove","POVI",NA,NA,"10-50",24,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"7","KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"8","KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Sandpiper Beach","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"9","KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"0-10",8,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"10","KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Sandpiper Beach","POVI",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"11","KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"12","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA
"13","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA
"14","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA
"15","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA
"16","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA
"17","KEEN ONE","Byrnes",2014,7,19,"SW Appledore","South Pepperrell","TAAD",NA,NA,"YOY",0,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"18","KEEN ONE","Byrnes",2014,7,19,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",10,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
