"","X","NETWORK","PI","YEAR_MONTH_DAY_TRANSECT","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","SAMPLING_METHOD","NOTES"
"1",1,"KEEN ONE","Byrnes","2014_7_17_North Smith's Cove",2014,7,17,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"2",2,"KEEN ONE","Byrnes","2014_7_17_South Smith's Cove",2014,7,17,"SW Appledore","South Smith's Cove","POVI",NA,NA,"10-50",70,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"3",3,"KEEN ONE","Byrnes","2014_7_17_North Smith's Cove",2014,7,17,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"4",4,"KEEN ONE","Byrnes","2014_7_17_North Smith's Cove",2014,7,17,"SW Appledore","North Smith's Cove","POVI",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"5",5,"KEEN ONE","Byrnes","2014_7_18_Broad Cove",2014,7,18,"NE Appledore","Broad Cove","POVI",NA,NA,"10-50",86,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"6",6,"KEEN ONE","Byrnes","2014_7_18_Norwegian Cove",2014,7,18,"NE Appledore","Norwegian Cove","POVI",NA,NA,"10-50",24,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"7",7,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"8",8,"KEEN ONE","Byrnes","2014_7_18_Sandpiper Beach",2014,7,18,"NW Appledore","Sandpiper Beach","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"9",9,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"0-10",8,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"10",10,"KEEN ONE","Byrnes","2014_7_18_Sandpiper Beach",2014,7,18,"NW Appledore","Sandpiper Beach","POVI",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"11",11,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"12",17,"KEEN ONE","Byrnes","2014_7_19_South Pepperrell",2014,7,19,"SW Appledore","South Pepperrell","TAAD",NA,NA,"YOY",0,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"13",18,"KEEN ONE","Byrnes","2014_7_19_North Pepperrell",2014,7,19,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",10,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"14",19,"KEEN ONE","Byrnes","2014_7_19_North Pepperrell",2014,7,19,"SW Appledore","North Pepperrell","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"15",20,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"16",21,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","POVI",NA,NA,"10-50",38,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"17",23,"KEEN ONE","Byrnes","2014_7_21_Magic 8 Ball",2014,7,21,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",86,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"18",25,"KEEN ONE","Byrnes","2014_7_21_Magic 8 Ball",2014,7,21,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"10-50",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"19",29,"KEEN ONE","Byrnes","2016_8_8_Norwegian Cove",2016,8,8,"NE Appledore","Norwegian Cove","TAAD",NA,NA,"0-10",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"20",30,"KEEN ONE","Byrnes","2016_8_8_Broad Cove",2016,8,8,"NE Appledore","Broad Cove","TAAD",NA,NA,"0-10",63,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"21",31,"KEEN ONE","Byrnes","2016_8_8_Broad Cove",2016,8,8,"NE Appledore","Broad Cove","TAAD",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
