YEAR_MONTH_DAY_TRANSECT,Agarum clathratum,Alaria esculenta,Ascophyllum nodosum,Asterias forbesi,Asterias rubens,Boltenia echinata,Boltenia ovifera,Buccinum undatum,Cancer borealis,Cancer irroratus,Carcinus maenas,Codium fragile,Colpomenia peregrina,Cucumaria frondosa,Cyclopterus lumpus,Desmarestia aculeata,Desmarestia viridis,Echinarachnius parma,Halosiphon tomentosus,Henricia sanguinolenta,Homarus americanus,Laminaria digitata,Metridium senile pallidus,Morone saxatilis,Myoxocephalus,Myoxocephalus octodecemspinosus,Myoxocephalus scorpius,Pachycerianthus borealis,Pholis gunnellus,Placopecten magellanicus,Pollachius virens,Pseudopleuronectes americanus,Saccharina latissima,Saccorhiza dermatodea,Strongylocentrotus droebachiensis,Tautoga onitis,Tautogolabrus adspersus,Ulvaria,UNID Juv Laminariales,Urophycis regia,Urticina felina,NA
2010_1_1_North Smith's Cove,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
2010_1_1_South Smith's Cove,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
2010_1_18_Broad Cove,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0
2010_1_18_Larus Ledge,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
2010_1_18_Norwegian Cove,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
2010_1_18_Sandpiper Beach,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
2010_1_1_Broadway and 02nd,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
2010_1_1_North Pepperrell,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
2010_1_1_South Pepperrell,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
2010_1_21_Devil's Dance Floor,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
2010_1_21_Magic 8 Ball,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
2010_1_21_North Head,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
201_1_1_North Smith's Cove,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
