source_taxon_external_id,sourceTaxonName,source_taxon_path,source_specimen_life_stage,interactionTypeName,target_taxon_external_id,targetTaxonName,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
GBIF:2645300,Acrosiphonia,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,eaten by,EOL_V2:595071,Buccinum undatum,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,NA,NA,NA,NA
GBIF:2645300,Acrosiphonia,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,eaten by,EOL:599668,Strongylocentrotus droebachiensis,Animalia | Echinodermata | Echinoidea | Camarodonta | Odontophora | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
GBIF:2645300,Acrosiphonia,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,eaten by,EOL:619401,Littorina saxatilis,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,NA,NA,NA,NA
GBIF:2645300,Acrosiphonia,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,eaten by,EOL_V2:595071,Buccinum undatum,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,NA,NA,NA,NA
GBIF:2645300,Acrosiphonia,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,eaten by,EOL:619401,Littorina saxatilis,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,NA,NA,NA,NA
GBIF:2645300,Acrosiphonia,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,eaten by,EOL:599668,Strongylocentrotus droebachiensis,Animalia | Echinodermata | Echinoidea | Camarodonta | Odontophora | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
GBIF:2661536,Agarum clathratum,Chromista | Ochrophyta | Phaeophyceae | Laminariales | Costariaceae | Agarum | Agarum clathratum,NA,eaten by,FBC:SLB:SpecCode:50007,Strongylocentrotus droebachiensis,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
GBIF:2661536,Agarum clathratum,Chromista | Ochrophyta | Phaeophyceae | Laminariales | Costariaceae | Agarum | Agarum clathratum,NA,eaten by,FBC:SLB:SpecCode:50007,Strongylocentrotus droebachiensis,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
FBC:SLB:SpecCode:122147,Alaria esculenta,Phaeophyceae | Laminariales | Alariaceae | Alaria | Alaria esculenta,NA,preyed upon by,FBC:SLB:SpecCode:50007,Strongylocentrotus droebachiensis,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
FBC:SLB:SpecCode:122147,Alaria esculenta,Phaeophyceae | Laminariales | Alariaceae | Alaria | Alaria esculenta,NA,eaten by,FBC:SLB:SpecCode:50007,Strongylocentrotus droebachiensis,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
FBC:SLB:SpecCode:122147,Alaria esculenta,Phaeophyceae | Laminariales | Alariaceae | Alaria | Alaria esculenta,NA,preyed upon by,FBC:SLB:SpecCode:50007,Strongylocentrotus droebachiensis,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
FBC:SLB:SpecCode:122147,Alaria esculenta,Phaeophyceae | Laminariales | Alariaceae | Alaria | Alaria esculenta,NA,eaten by,FBC:SLB:SpecCode:50007,Strongylocentrotus droebachiensis,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
WD:Q967622,Alaria esculenta,| Alaria esculenta,NA,eaten by,EOL_V2:595071,Buccinum undatum,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,NA,NA,NA,NA
