sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,Paper ID,Reference DOI,sourceTaxonName,interactionTypeName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Acrosiphonia,Buccinum undatum,Intertidal,Subtidal,NA,NA,Acrosiphonia,eaten by,Buccinum undatum,NA,NA,NA,NA,NA,NA,GBIF:2645300,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,NA,NA,NA,NA
Acrosiphonia,Littorina saxatilis,Intertidal,Intertidal,NA,NA,Acrosiphonia,eaten by,Littorina saxatilis,NA,NA,NA,NA,NA,NA,GBIF:2645300,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,NA,NA,NA,NA
Acrosiphonia,Strongylocentrotus droebachiensis,Intertidal,Both,NA,NA,Acrosiphonia,eaten by,Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA,NA,GBIF:2645300,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,EOL:599668,Animalia | Echinodermata | Echinoidea | Camarodonta | Odontophora | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
Agarum clathratum,Lacuna vincta,Subtidal,Intertidal,9,10.3354/meps11421,Agarum clathratum,preyed upon by,Lacuna vincta,"Splitnose Point, Nova Scotia",44.47734722,-63.54666667,summer 2013-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agarum clathratum,Membranipora membranacea,Subtidal,Both,9,10.3354/meps11421,Agarum clathratum,has epiphyte,Membranipora membranacea,"Splitnose Point, Nova Scotia",44.47734722,-63.54666667,summer 2013-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agarum clathratum,Strongylocentrotus droebachiensis,Subtidal,Both,NA,NA,Agarum clathratum,eaten by,Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA,NA,GBIF:2661536,Chromista | Ochrophyta | Phaeophyceae | Laminariales | Costariaceae | Agarum | Agarum clathratum,NA,FBC:SLB:SpecCode:50007,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
Agarum clathratum,Strongylocentrotus droebachiensis,Subtidal,Both,10,10.1371/journal.pone.0098204,Agarum clathratum,preyed upon by,Strongylocentrotus droebachiensis,Eastern Canada,47.30972222,-52.79166667,NA,NA,A. clathratum and D. viridis have chemical makeup that retards urchin grazing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaria esculenta,Buccinum undatum,Subtidal,Subtidal,NA,NA,Alaria esculenta,eaten by,Buccinum undatum,NA,NA,NA,NA,NA,NA,WD:Q967622,| Alaria esculenta,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,NA,NA,NA,NA
Alaria esculenta,Cancer irroratus,Subtidal,Subtidal,NA,NA,Alaria esculenta,eaten by,Cancer irroratus,NA,NA,NA,NA,NA,NA,WD:Q967622,| Alaria esculenta,NA,BioGoMx:Spp-59-0782,Animalia | Arthropoda | Crustacea | Malacostraca | Decapoda | Pleocyemata | Brachyura | Eubrachyura | Heterotremata | Cancroidea | Cancridae | Cancer | Cancer irroratus,NA,NA,NA,NA,NA
Alaria esculenta,Littorina littorea,Subtidal,Intertidal,NA,NA,Alaria esculenta,eaten by,Littorina littorea,NA,NA,NA,NA,NA,NA,WD:Q967622,| Alaria esculenta,NA,EOL:619396,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina littorea,NA,NA,NA,NA,NA
Alaria esculenta,Littorina obtusata,Subtidal,Intertidal,NA,NA,Alaria esculenta,eaten by,Littorina obtusata,NA,NA,NA,NA,NA,NA,WD:Q967622,| Alaria esculenta,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,NA,NA,NA,NA
Alaria esculenta,Littorina saxatilis,Subtidal,Intertidal,NA,NA,Alaria esculenta,eaten by,Littorina saxatilis,NA,NA,NA,NA,NA,NA,WD:Q967622,| Alaria esculenta,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,NA,NA,NA,NA
Alaria esculenta,Strongylocentrotus droebachiensis,Subtidal,Both,NA,NA,Alaria esculenta,eaten by,Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:122147,Phaeophyceae | Laminariales | Alariaceae | Alaria | Alaria esculenta,NA,FBC:SLB:SpecCode:50007,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
Alaria esculenta,Strongylocentrotus droebachiensis,Subtidal,Both,10,10.1371/journal.pone.0098204,Alaria esculenta,preyed upon by,Strongylocentrotus droebachiensis,"Bread and Cheese Cove, Newfoundland",47.30972222,-52.79166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaria esculenta,Tectura testinalis,Subtidal,Intertidal,NA,NA,Alaria esculenta,eaten by,Testudinalia testudinalis,NA,NA,NA,NA,NA,NA,WD:Q967622,| Alaria esculenta,NA,EOL:586346,Animalia | Mollusca | Gastropoda |  | Lottioidea | Lottiidae | Testudinalia | Testudinalia testudinalis,NA,NA,NA,NA,NA
