sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,interactionTypeName,Paper ID,Reference DOI,sourceTaxonName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Amphipoda,Fucus,Both,Intertidal,preys on,NA,NA,Fucus,Amphipoda,NA,NA,NA,NA,NA,NA,ITIS:11334,Chromista | Chromista | Phaeophyta | Phaeophyceae | Fucales | Fucaceae | Fucus,NA,ITIS:93294,Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Crustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda,NA,NA,NA,NA,NA
Amphipoda,Palmaria palmata,Both,Subtidal,preys on,NA,NA,Palmaria palmata,Amphipoda,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:116766,Florideophyceae | Palmariales | Palmariaceae | Palmaria | Palmaria palmata,NA,ITIS:93294,Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Crustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda,NA,NA,NA,NA,NA
Anurida maritima,Carcinus maenas,Intertidal,Both,eats,26,NA,Anurida maritima,Carcinus maenas,"Bristol Channel, UK",NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anurida maritima,Littorina obtusata,Intertidal,Intertidal,eats,8,NA,Anurida maritima,Littorina obtusata,"Schiermonnikoog, Netherlands",53.4855329,6.1135861,1966,NA,eats deat bodies of Littorina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias forbesi,Barnacle,Subtidal,Subtidal,preys on,2410,NA,Asterias forbesi,Balanus crenatus,"Outer Brewster Island, Massachusetts, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias forbesi,Crepidula fornicata,Subtidal,Both,preys on,NA,NA,Asterias forbesi,Crepidula fornicata,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:48659,Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias forbesi,NA,EOL:593855,Animalia | Mollusca | Gastropoda | Littorinimorpha | Calyptraeoidea | Calyptraeidae | Crepidula | Crepidula fornicata,NA,NA,NA,NA,NA
Asterias forbesi,Hiatella arctica,Subtidal,Intertidal,preys on,136,NA,Hiatella arctica,Asterias forbesi,Maine,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias forbesi,Lacuna vincta,Subtidal,Intertidal,preys on,136,NA,Lacuna vincta,Asterias forbesi,Maine,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias forbesi,Mytilus edulis,Subtidal,Both,preys on,NA,NA,Asterias forbesi,Mytilus edulis,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:48659,Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias forbesi,NA,EOL_V2:449959,Animalia | Mollusca | Bivalvia | Mytiloida | Mytiloidea | Mytilidae | Mytilus | Mytilus edulis,NA,NA,NA,NA,NA
Asterias forbesi,Semibalanus balanoides,Subtidal,Intertidal,preys on,NA,NA,Asterias forbesi,Semibalanus balanoides,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:48659,Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias forbesi,NA,FBC:SLB:SpecCode:32301,Maxillopoda | Sessilia | Archaeobalanidae | Semibalanus | Semibalanus balanoides,NA,NA,NA,NA,NA
Asterias forbesi,Strongylocentrotus droebachiensis,Subtidal,Both,preys on,136,NA,Strongylocentrotus droebachiensis,Asterias forbesi,Maine,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Asterias rubens,Subtidal,Subtidal,eats,NA,NA,Asterias rubens,Asterias rubens,NA,NA,NA,NA,NA,NA,EOL:598481,Animalia | Echinodermata | Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias rubens,NA,EOL:598481,Animalia | Echinodermata | Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias rubens,NA,NA,NA,NA,NA
Asterias rubens,Asterias rubens,Subtidal,Subtidal,preys on,2396,https://www.proquest.com/docview/302778412/9AE1C58E2CEA428EPQ/22?accountid=28941,Asterias rubens,Asterias rubens,"Logy Bay, Newfoundland, Canada",47.65403916,-52.69646251,May to August 1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Barnacle,Subtidal,Subtidal,preys on,2383,NA,Asterias rubens,Balanus balanus,"The Marine Lab, Milport, Scotland",55.74956238,-4.905881867,May 1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Buccinum undatum,Subtidal,Subtidal,preys on,353,10.1016/S1385-1101(98)00005-7,Buccinum undatum,Asterias rubens,Anglesy,53.2780205,-4.594537,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Cucumaria frondosa,Subtidal,Subtidal,eats,157,NA,Asterias rubens,Cucumaria frondosa,NA,NA,NA,NA,NA,"scavenge pieces, not pred",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
