Paper ID,Ref ID,Reference DOI,sourceTaxonName,interactionTypeName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes
,1,10.1016/j.jembe.2015.02.005,Cancer borealis,preys on,Strongylocentrotus droebachiensis,"Splitnose Point, Nova Scotia, Canada",44.5875,-63.76361111,7/1/2012,,
,1,10.1016/j.jembe.2015.02.005,Strongylocentrotus droebachiensis,preys on,Saccharina latissima,"Splitnose Point, Nova Scotia, Canada",44.5875,-63.76361111,7/1/2012,,
,2,10.3354/meps10983,Cancer borealis,preys on,Strongylocentrotus droebachiensis,"St. Margarets Bay, Nova Scotia",44.695,-64.25805556,7/1/2010,,
,2,10.3354/meps10983,Cancer irroratus,preys on,Strongylocentrotus droebachiensis,"St. Margarets Bay, Nova Scotia",44.695,-64.25805556,7/1/2010,,
,3,10.3354/meps10980,Larus argentatus,preys on,Cancer borealis,"Sable Island, Nova Scotia",43.93333333,-59.9,6/14/2012,,
,3,10.3354/meps10980,Larus marinus,preys on,Cancer borealis,"Sable Island, Nova Scotia",43.93333333,-59.9,6/14/2012,,
,3,10.3354/meps10980,Larus argentatus,preys on,sea cucumber,"Sable Island, Nova Scotia",43.93333333,-59.9,6/14/2012,,
,3,10.3354/meps10980,Larus marinus,preys on,sea cucumber,"Sable Island, Nova Scotia",43.93333333,-59.9,6/14/2012,,
,3,10.3354/meps10980,Larus argentatus,preys on,clams,"Sable Island, Nova Scotia",43.93333333,-59.9,6/14/2012,,
,3,10.3354/meps10980,Larus marinus,preys on,clams,"Sable Island, Nova Scotia",43.93333333,-59.9,6/14/2012,,
,4,10.5343/bms.2011.1148,Cancer borealis,preys on,Strongylocentrotus droebachiensis,Coast of Maine,,,7/1/2004,,
,4,10.5343/bms.2011.1148,Cancer irroratus,preys on,Strongylocentrotus droebachiensis,Coast of Maine,,,7/1/2004,,
,5,10.1016/j.jembe.2012.02.014,Larus argentatus,preys on,Cancer borealis,Appledore Island,42.96666667,-70.61666667,6/1/2001,,
,5,10.1016/j.jembe.2012.02.014,Larus argentatus,preys on,Cancer irroratus,Appledore Island,42.96666667,-70.61666667,6/1/2001,,
,5,10.1016/j.jembe.2012.02.014,Larus argentatus,preys on,Carcinus maenas,Appledore Island,42.96666667,-70.61666667,6/1/2001,,
,5,10.1016/j.jembe.2012.02.014,Larus marinus,preys on,Cancer borealis,Appledore Island,42.96666667,-70.61666667,6/1/2001,,
,5,10.1016/j.jembe.2012.02.014,Larus marinus,preys on,Cancer irroratus,Appledore Island,42.96666667,-70.61666667,6/1/2001,,
,5,10.1016/j.jembe.2012.02.014,Larus marinus,preys on,Carcinus maenas,Appledore Island,42.96666667,-70.61666667,6/1/2001,,
,5,10.1016/j.jembe.2012.02.014,Cancer borealis,preys on,Mytilus edulis,Appledore Island,42.96666667,-70.61666667,6/1/2001,,
,6,10.1016/j.jembe.2010.10.005,Cancer borealis,preys on,Nucella lapillus,"Damariscotta River, ME",,,,,
