organism,zone
Anurida maritima,intertidal
Littorina saxatilis,intertidal
Fucus,intertidal
Fucus spiralis,intertidal
Semibalanus balanoides,intertidal
Fucus vesiculosus,intertidal
Mytilus edulis,intertidal
Amphipoda,intertidal
Fucus distichus,intertidal
Littorina obtusata,intertidal
Ceramium virgatum,intertidal
Elachista fucicola,intertidal
Mastocarpus stellatus,intertidal
Chondrus crispus,intertidal
Porphyra,intertidal
Prasiola stipitata,intertidal
Littorina littorea,intertidal
Metridium senile,intertidal
Ascophyllum nodosum,intertidal
Hildenbrandia rubra,intertidal
Carcinus maenas,intertidal
Diadumene lineata,intertidal
Hemigrapsus sanguineus,intertidal
Nucella lapillus,intertidal
Phymatolithon lenormandii,intertidal
Polysiphonia,intertidal
Rhizoclonium tortuosum,intertidal
Verrucaria,intertidal
Corallina officinalis,intertidal
Hiatella arctica,intertidal
Chaetomorpha,intertidal
Crepidula fornicata,intertidal
Ostrea edulis,intertidal
Tectura testinalis,intertidal
Modiolus modiolus,intertidal
Anomia simplex,intertidal
Idotea balthica,intertidal
Cladophora,intertidal
Colpomenia peregrina,intertidal
Dumontia contorta,intertidal
Leathesia marina,intertidal
Cryptosula pallasiana,intertidal
Ahnfeltia plicata,intertidal
Vertebrata lanosa,intertidal
Codium fragile,intertidal
Spirorbis,intertidal
Strongylocentrotus droebachiensis,intertidal
Pagurus acadianus,intertidal
Acrosiphonia,intertidal
Chordaria flagelliformis,intertidal
Ulva lactuca,intertidal
Testudinalia testudinalis,intertidal
Isopods,intertidal
Sphacelaria cirrosa,intertidal
Electra pilosa,intertidal
Membranipora membranacea,intertidal
Dynamena pumila,intertidal
Botrylloides violaceus,intertidal
Tricellaria inopinata,intertidal
Lacuna vincta,intertidal
